site,tree_id,year,fate,instar,tet_larv
Gof,2017.Gof.1.Low.Girdled,2017,Alive,1,0
Gof,2017.Gof.2.Low.Girdled,2017,Alive,5,0
Gof,2017.Gof.2.Low.Girdled,2017,Alive,5,0
Gof,2017.Gof.2.Low.Girdled,2017,Alive,5,0
Gof,2017.Gof.2.Low.Girdled,2017,Alive,5,0
Gof,2017.Gof.2.Low.Girdled,2017,Alive,5,0
Gof,2017.Gof.6.Low.Girdled,2017,Alive,2,0
Gof,2017.Gof.6.Low.Girdled,2017,Alive,5,0
Gof,2017.Gof.8.Low.Ungirdled,2017,Alive,2,0
Gof,2017.Gof.8.Low.Ungirdled,2017,Alive,2,0
Gof,2017.Gof.11.Low.Ungirdled,2017,Alive,0,0
Gof,2017.Gof.12.Low.Ungirdled,2017,Alive,1,0
Gof,2017.Gof.12.Low.Ungirdled,2017,Alive,2,0
Gof,2017.Gof.12.Low.Ungirdled,2017,Alive,2,0
Gof,2017.Gof.12.Low.Ungirdled,2017,Alive,2,0
Gof,2017.Gof.15.Low.Ungirdled,2017,Alive,5,0
Gof,2017.Gof.15.Low.Ungirdled,2017,Alive,5,0
Gof,2017.Gof.17.Low.Ungirdled,2017,Alive,1,0
Gof,2017.Gof.17.Low.Ungirdled,2017,Alive,2,0
Gof,2017.Gof.17.Low.Ungirdled,2017,Alive,2,0
Gof,2017.Gof.17.Low.Ungirdled,2017,Alive,2,0
Gof,2017.Gof.18.Low.Ungirdled,2017,Alive,5,0
Gof,2017.Gof.18.Low.Ungirdled,2017,Alive,5,0
Gof,2017.Gof.18.Low.Ungirdled,2017,Alive,5,0
Gof,2017.Gof.20.High.Girdled,2017,Alive,1,0
Gof,2017.Gof.20.High.Girdled,2017,Alive,1,0
Gof,2017.Gof.20.High.Girdled,2017,Alive,1,0
Gof,2017.Gof.20.High.Girdled,2017,Alive,2,0
Gof,2017.Gof.20.High.Girdled,2017,Alive,2,0
Gof,2017.Gof.20.High.Girdled,2017,Alive,2,0
Gof,2017.Gof.20.High.Girdled,2017,Alive,2,0
Gof,2017.Gof.20.High.Girdled,2017,Alive,5,0
Gof,2017.Gof.21.High.Girdled,2017,Alive,2,0
Gof,2017.Gof.21.High.Girdled,2017,Alive,3,0
